image_stem,method,psnr
pentagon,gaussian_3x3,11.18533984109041
pentagon,gaussian_5x5,11.27372219175422
pentagon,gaussian_9x9,11.280565432847533
pentagon,median_3x3,9.419537278057684
pentagon,median_5x5,9.357376977080428
pentagon,median_9x9,9.330123929417015
pentagon,bilateral_3x3,10.774112296134195
pentagon,bilateral_5x5,10.774112296134195
pentagon,bilateral_9x9,10.774112296134195
pentagon,wiener_3x3,11.260954177817354
pentagon,wiener_5x5,11.394639103279971
pentagon,wiener_9x9,11.414130499905205
pentagon,nlm_3x3,9.53734153541226
pentagon,nlm_5x5,9.53734153541226
pentagon,nlm_9x9,9.53734153541226
pepper,box_3x3,9.831459489569484
pepper,box_5x5,9.99324681875849
pepper,box_9x9,10.00897970486446
pepper,gaussian_3x3,9.799551320824184
pepper,gaussian_5x5,9.905385628807892
pepper,gaussian_9x9,9.913727898092317
pepper,median_3x3,8.038081103276099
pepper,median_5x5,8.119561043832856
pepper,median_9x9,8.249232351103833
pepper,bilateral_3x3,8.731389706328573
pepper,bilateral_5x5,8.731389706328573
pepper,bilateral_9x9,8.731389706328573
pepper,wiener_3x3,9.873992339210321
pepper,wiener_5x5,10.0413207634453
pepper,wiener_9x9,10.058524992394807
pepper,nlm_3x3,7.971320376343431
pepper,nlm_5x5,7.971320376343431
pepper,nlm_9x9,7.971320376343431
plane,box_3x3,26.060398971981876
plane,box_5x5,25.58597669866443
plane,box_9x9,23.283801427557563
plane,gaussian_3x3,26.227236953133275
plane,gaussian_5x5,26.767366694501007
plane,gaussian_9x9,26.779666436407
plane,median_3x3,33.884830974127425
plane,median_5x5,29.365241693932788
plane,median_9x9,25.152329421207043
plane,bilateral_3x3,22.687920688802706
plane,bilateral_5x5,22.687920688802706
plane,bilateral_9x9,22.687920688802706
plane,wiener_3x3,19.0847438424335
plane,wiener_5x5,19.250485442786115
plane,wiener_9x9,19.39285079582374
plane,nlm_3x3,19.026907175077127
plane,nlm_5x5,19.026907175077127
plane,nlm_9x9,19.026907175077127
rainier,box_3x3,19.055973200347328
rainier,box_5x5,18.192681508809166
rainier,box_9x9,17.523324261188538
